,Years,High income,Low income,Lower middle income,Upper middle income
0,1960,0.0116717174738075,0.0003635204299928571,0.0013957656723572224,0.002427231804537593
1,1961,0.012353769628886251,0.00036699270719285713,0.001491937529065,0.00219061953647
2,1962,0.013335060666199874,0.00040906115275000005,0.00151594689602,0.002699741631442648
3,1963,0.014363804393580626,0.0005167243545392857,0.0016876716805361112,0.0028324268093761107
4,1964,0.015676232293015124,0.0004194185371928571,0.0018949794114801852,0.003250462842078148
5,1965,0.017055685403552876,0.0004947319800142858,0.002169236331936111,0.003602163423614444
6,1966,0.0188585661994765,0.00054420229385,0.001990202017899074,0.003979608978714629
7,1967,0.02023030110523075,0.00054182132827,0.0022320472805433334,0.004004081301765
8,1968,0.021986807442110623,0.0005735548119453571,0.002404514779259074,0.004232188480816111
9,1969,0.024186782676931126,0.0006553509748571429,0.002670383875405,0.004743567519031296
10,1970,0.028700605570423622,0.0006808293031032143,0.002958925367695741,0.005298012369034444
11,1971,0.03195791293146,0.0007418206797753571,0.0031227103477668517,0.005763130467731666
12,1972,0.037067315873767874,0.0008106716279239286,0.003399214248965185,0.006553249733583889
13,1973,0.04483534218954625,0.0009705231985503571,0.00418364179962537,0.008522213966039074
14,1974,0.050525480393108745,0.0012162550263110714,0.0055798415385805555,0.010566004962679074
15,1975,0.05657549412225575,0.0013903721802714286,0.0062004313330457405,0.01163901256160074
16,1976,0.06162768966773424,0.0014741807391535715,0.0069029677734279635,0.012271343212687592
17,1977,0.0697815436820095,0.0017106763626857143,0.00794938422290537,0.013571593302589629
18,1978,0.08360944458962274,0.0019216097895642856,0.008765805723192964,0.014543949200989073
19,1979,0.09664067717289425,0.0021314993991678574,0.010079232539352593,0.017651928908302406
20,1980,0.10945735671985699,0.002319941219925,0.012357775561634074,0.020930296605835556
21,1981,0.11104277095734987,0.0026395290638000003,0.014914752363258333,0.022628247198937777
22,1982,0.110012880949459,0.002561438619214286,0.015359864616393147,0.02160761129099722
23,1983,0.11355166204886961,0.0024810906515928574,0.015194645145778517,0.02052727354003185
24,1984,0.118390290368025,0.002437906523667857,0.015040878773744444,0.021173832475037964
25,1985,0.12431590887178626,0.002454212762532143,0.016294794367034817,0.02166529781679185
26,1986,0.1509372205603225,0.002876256927932143,0.01733384868362037,0.021929233370840184
27,1987,0.1752332411207025,0.0033392420593392857,0.018160496079088335,0.023445701832612593
28,1988,0.19719440994228998,0.0030388408175535714,0.018645287399207407,0.036272683455711115
29,1989,0.20608111147699376,0.0033581504361714287,0.018635250111784258,0.038360583602801486
30,1990,0.23307119918189872,0.0043106992842071425,0.020433250731927408,0.04735354625274704
31,1991,0.24676738511887875,0.0049389736196571435,0.01710829526350889,0.04590056467912989
32,1992,0.26515968036424,0.0036633538074785713,0.01796916225172685,0.04785875872550131
33,1993,0.2670773132220138,0.0038381498659428573,0.01933165935439333,0.052199581423101
34,1994,0.2874591256308937,0.003798599833260714,0.0208833420185863,0.05787333457156222
35,1995,0.3213697803933325,0.0042748671743999996,0.02371145228094389,0.06546706597623778
36,1996,0.32399362321434,0.004718165070971428,0.026517588772640557,0.0712385074037413
37,1997,0.3182522853744875,0.005085774031010714,0.02712935041096463,0.07630947892463055
38,1998,0.31984904069117376,0.005184744304753572,0.024782161314262224,0.07521219431479204
39,1999,0.3358646053188762,0.0052657190161642855,0.026760817952654815,0.07106961142140203
40,2000,0.3426317936954,0.006175926367171429,0.02815319635987037,0.07859863731611666
41,2001,0.3395422464705337,0.006187186393910714,0.028774546296404812,0.078982576952035
42,2002,0.3542168527916675,0.006770693196560714,0.03077070094910463,0.07955313893140037
43,2003,0.39739624584182753,0.007410154299003571,0.035320961196718514,0.0890650439799202
44,2004,0.4425741564750488,0.008709481493810714,0.04092553900308889,0.10675456208984481
45,2005,0.467998342209515,0.01041716426447857,0.047489188916287034,0.1282906477226361
46,2006,0.49459778284118505,0.012187885463932142,0.05620438398816482,0.15241573432003963
47,2007,0.5418147659940524,0.014633565409424999,0.06900415465150926,0.18882815770478203
48,2008,0.5773211664504412,0.018086805491660717,0.07814442977326666,0.2304316824743161
49,2009,0.5407332007754024,0.0184364733945,0.07955452606347962,0.22190627698916482
50,2010,0.5660841357904461,0.020820578367042857,0.09716494227712406,0.2704438982562011
51,2011,0.6112338354741433,0.01566673534135714,0.11168534627938148,0.32680340474352926
52,2012,0.611393931343761,0.014776364838307143,0.11720657872185185,0.35027692357080203
53,2013,0.6189462979310255,0.015335052278035713,0.11912504419535,0.3760520006533152
54,2014,0.6321471577621125,0.01639255069128571,0.12375615791302037,0.38776152256598373
55,2015,0.5963827085693196,0.016180922592285714,0.12085168496457223,0.3641268379231376
56,2016,0.6092743369077995,0.015930351690607143,0.12750592113652776,0.3620188401653661
57,2017,0.636920826706665,0.01787112184810714,0.13697008330032223,0.40080963532610336
58,2018,0.6773926789609838,0.015353249685142857,0.1396492098404963,0.43154628552097773
59,2019,0.6832691933078724,0.015379309867142857,0.14619920845232778,0.43863420531113717
60,2020,0.6625020319354187,0.01541710880982143,0.14047319953017037,0.42230914412485776
61,2021,0.72440824676192,0.016095584136607142,0.15474138782246666,0.4985867631619525
